"country.code","country.name","gni.month","cost.usd.per.gb","percent.income"
"ABW","Aruba",1970.75,5.08270347245043,0.515814128879912
"ADO","Andorra",3592.5,8.94298235794797,0.497869581514153
"AFG","Afghanistan",56.6666666666667,3.75326004717071,13.2468001664849
"AGO","Angola",555.833333333333,15.0360464643709,5.41027159137784
"AIA","Anguilla",1644.33333333333,8.91005290114286,1.08372830745707
"ARE","United Arab Emirates",3716.66666666667,7.96077178787672,0.428382338361079
"ARG","Argentina",1123.33333333333,15.2163313648356,2.709139115401
"ARM","Armenia",335,5.7309936107695,3.42148872284746
"AUT","Austria",4139.16666666667,2.69069381990586,0.130011378453273
"AZE","Azerbaijan",632.5,2.07982462448316,0.657652055172542
"BEL","Belgium",3938.33333333333,15.2437199283204,0.774120351840224
"BEN","Benin",74.1666666666667,6.1733787320273,16.6473134346804
"BFA","Burkina Faso",58.3333333333333,5.41011457014107,18.5489642404837
"BGD","Bangladesh",90,0.981426475893647,2.1809477242081
"BGR","Bulgaria",635,13.8586405969981,4.36492617228286
"BHS","Bahamas",1748.33333333333,8.78136200716846,1.0045409350431
"BLR","Belarus",611.666666666667,1.25339579965145,0.409829689259329
"BLZ","Belize",362.5,4.89806737841835,2.70238200188598
"BMU","Bermuda",8845,23.1395348837209,0.523222948190411
"BOL","Bolivia",239.166666666667,2.95565940113443,2.47163155495562
"BRA","Brazil",960.833333333333,8.1221666062863,1.69065046444815
"BRB","Barbados",1275.83333333333,5.14410256410256,0.806390996332211
"BRN","Brunei Darussalam",3110,4.26041787791957,0.273981857100937
"BTN","Bhutan",197.5,2.93366826772922,2.97080330909289
"BWA","Botswana",603.333333333333,46.8983513650883,15.5464148171563
"CAN","Canada",4302.5,32.7022407208182,1.52015064361735
"CHE","Switzerland",7343.33333333333,10.3001927250301,0.280531803677624
"CHL","Chile",1242.5,10.9182954517091,1.75747210490288
"CHN","China",616.666666666667,5.31440664724209,1.72359134505149
"CIV","Cote d'Ivoire",120.833333333333,2.39487989470862,3.96393913606944
"CMR","Cameroon",112.5,8.52093044797219,15.148320796395
"COG","Congo",226.666666666667,1.12809709626414,0.995379790821303
"COK","Cook Islands",1250.25,41.6871717559796,6.66861375820509
"COL","Colombia",664.166666666667,5.7027320969753,1.71725935166132
"COM","Comoros",65.8333333333333,22.7224811945938,69.0303226164875
"CPV","Cape Verde",287.5,3.31745815357884,2.30779697640267
"CRI","Costa Rica",843.333333333333,2.04403636363655,0.484751706791278
"CUW","Curacao",1680.58333333333,9.31130382878979,1.10810379278502
"CYM","Cayman Islands",4439.25,13.8639259860362,0.624606678427041
"CZE","Czech Republic",1530.83333333333,4.4512503171924,0.581546040351756
"DEU","Germany",3970,9.7813869540056,0.492765085844111
"DJI","Djibouti",161.333333333333,39.2738782608781,48.6866259432373
"DOM","Dominican Republic",503.333333333333,12.9523412526191,5.14662566329237
"DZA","Algeria",457.5,9.14349929324096,3.99715816097965
"ECU","Ecuador",507.5,14.6446617766911,5.77129528145463
"EGY","Egypt",254.166666666667,1.77397814432867,1.3959172283242
"ESP","Spain",2453.33333333333,8.83403712795178,0.720166070213461
"FIN","Finland",4035,15.8598202754234,0.786112529141183
