"country.code","country.name","gni.month","cost.usd.per.gb","percent.income"
"MYS","Malaysia",926.666666666667,7.20942040936477,1.55599001640966
"NAM","Namibia",469.166666666667,8.24183097542829,3.51339153481845
"NCL","New Caledonia",3282.66666666667,14.1177864939519,0.860141337974322
"NER","Niger",34.1666666666667,6.36418041757259,37.2537390296932
"NGA","Nigeria",247.5,5.04915195297266,4.08012279028094
"NIC","Nicaragua",155.833333333333,0.312053110068508,0.4004959701414
"NLD","Netherlands",4324.16666666667,17.5297195395491,0.81077908835841
"NOR","Norway",8635.83333333333,3.94603695211903,0.0913875198792403
"NPL","Nepal",60.8333333333333,3.68177568545444,12.1044680069735
"NZL","New Zealand",2562.5,14.3709538748384,1.12163542437763
"OMN","Oman",1405.83333333333,5.84613471594392,0.831696699363688
"PAK","Pakistan",116.666666666667,1.43447736518952,2.4591040546106
"PAN","Panama",927.5,11.6444444444444,2.51093141659179
"PER","Peru",530,10.812544307689,4.08020539912794
"PHL","Philippines",291.666666666667,4.37124520222988,2.99742528152906
"PNG","Papua New Guinea",186.666666666667,13.4711756292577,14.4334024599189
"POL","Poland",1140.83333333333,1.23737924869694,0.216925507441392
"PRT","Portugal",1780,4.08959957482845,0.459505570205444
"PRY","Paraguay",366.666666666667,4.64767282958197,2.53509427068108
"QAT","Qatar",7683.33333333333,5.00304548383664,0.130231118885119
"ROM","Romania",1505,2.36298314336024,0.314017693469799
"RUS","Russia",1101.66666666667,0.942069889241779,0.171026303644498
"RWA","Rwanda",58.3333333333333,1.36160081259525,4.6683456431837
"SAU","Saudi Arabia",2095,12.1622499546944,1.16107398135508
"SDN","Sudan",142.5,1.24813831082933,1.75177306783063
"SEN","Senegal",87.5,3.44976941213449,7.88518722773598
"SGP","Singapore",4595.83333333333,9.65911612829591,0.420342315646604
"SLB","Solomon Islands",152.5,65.5060034303929,85.9095126955972
"SLE","Sierra Leone",58.3333333333333,13.2321874418604,45.3674998006642
"SLV","El Salvador",326.666666666667,6.56667901775188,4.02041572515421
"SOM","Somalia",10.4166666666667,25.1021599532983,481.961471103327
"SRB","Serbia",485,0.978297613578474,0.40342169632102
"STP","Sao Tome and Principe",139.166666666667,5.53696969696971,7.95732172019599
"SUR","Suriname",829.166666666667,6.06400241636595,1.46267394967621
"SVK","Slovakia",1479.16666666667,5.29600313625301,0.716079297296181
"SVN","Slovenia",1965,2.3784527547734,0.242081705320448
"SWE","Sweden",5134.16666666667,0.770371690413414,0.0300096097547832
"SWZ","Swaziland",295.833333333333,19.081017247728,12.8998426463514
"SYC","Seychelles",1175,24.1037033728425,4.10275802090935
"SYR","Syria",148.666666666667,2.67541846956759,3.59921767206403
"TCD","Chad",81.6666666666667,10.4909782310609,25.6921915862715
"TGO","Togo",47.5,7.21001807136108,30.3579708267835
"THA","Thailand",481.666666666667,4.83614524401812,2.00808799059576
"TJK","Tajikistan",90,2.93396086605146,6.51991303566992
"TKM","Turkmenistan",668.333333333333,13.6833046471601,4.09475450787832
"TMP","Timor-Leste",207.833333333333,10.580204778157,10.181432023888
"TTO","Trinidad and Tobago",1672.5,5.56243497391213,0.665164122440912
"TUN","Tunisia",352.5,25.0645698832472,14.2210325578708
"TUR","Turkey",902.5,7.34847046942492,1.62846991012187
"TWN","Taiwan",1883.16666666667,8.17133394350187,0.867829076219333
"TZA","Tanzania",76.6666666666667,1.26810793801136,3.30810766437746
"UGA","Uganda",55.8333333333333,4.15305985966954,14.8766323331446
"UKR","Ukraine",296.666666666667,1.85889915120385,1.25319043901383
"URY","Uruguay",1362.5,2.10416961596014,0.308868934452865
"USA","United States",4600,7.29309798118592,0.317091216573301
"UZB","Uzbekistan",174.166666666667,8.05076392311483,9.24489637104096
"VEN","Venezuela",1041.66666666667,24.4494380221081,4.69429210024476
"VNM","Viet Nam",157.5,2.72482982595343,3.46010136629006
"VUT","Vanuatu",263.333333333333,25.0276096774224,19.0083111474094
"WBG","Palestinian Territory",408.333333333333,12.8330089713466,6.28555541453712
"YEM","Yemen",108.333333333333,8.94319866303407,16.5105206086783
"ZAF","South Africa",566.666666666667,6.17409211556295,2.17909133490457
"ZAR","Congo Democratic Republic",56.6666666666667,6.77719563827414,23.9195140174381
"ZMB","Zambia",140,10.6641029043654,15.234432720522
