"country.code","country.name","gni.month","cost.usd.per.gb","percent.income","cost.usd.per.gb.bucket","percent.income.bucket"
"MDV","Maldives",534.17,10.18,3.81,"10-20","3-5"
"MEX","Mexico",822.5,19.11,4.65,"10-20","3-5"
"MLI","Mali",54.17,21.58,79.69,"20-30","40-"
"MMR","Myanmar [Burma]",105.83,3.95,7.46,"2-5","5-10"
"MOZ","Mozambique",50,7.66,30.64,"5-10","20-40"
"MUS","Mauritius",802.5,20.68,5.15,"20-30","5-10"
"MWI","Malawi",20.83,14.84,142.51,"10-20","40-"
"MYS","Malaysia",926.67,10.9,2.35,"10-20","1-3"
"NAM","Namibia",469.17,13,5.54,"10-20","5-10"
"NCL","New Caledonia",3282.67,40.22,2.45,"30-50","1-3"
"NER","Niger",34.17,11.47,67.13,"10-20","40-"
"NGA","Nigeria",247.5,19.9,16.08,"10-20","10-20"
"NIC","Nicaragua",155.83,6.57,8.43,"5-10","5-10"
"NLD","Netherlands",4324.17,27.71,1.28,"20-30","1-3"
"NOR","Norway",8635.83,6.13,0.14,"5-10","0-1"
"PSE","Nepal",60.83,5.36,17.61,"5-10","10-20"
"NZL","New Zealand",2562.5,26.15,2.04,"20-30","1-3"
"OMN","Oman",1405.83,9.6,1.37,"5-10","1-3"
"PAK","Pakistan",116.67,62.48,107.11,"50-","40-"
"PAN","Panama",927.5,9.08,1.96,"5-10","1-3"
"PER","Peru",530,15.34,5.79,"10-20","5-10"
"PHL","Philippines",291.67,8.77,6.01,"5-10","5-10"
"PNG","Papua New Guinea",186.67,24.85,26.63,"20-30","20-40"
"POL","Poland",1140.83,3.75,0.66,"2-5","0-1"
"ROU","Portugal",1780,12.9,1.45,"10-20","1-3"
"PRY","Paraguay",366.67,8.87,4.84,"5-10","3-5"
"QAT","Qatar",7683.33,12.32,0.32,"10-20","0-1"
"ROM","Romania",1505,5.9,0.78,"5-10","0-1"
"RUS","Russia",1101.67,4.67,0.85,"2-5","0-1"
"RWA","Rwanda",58.33,6.47,22.18,"5-10","20-40"
"SAU","Saudi Arabia",2095,34.76,3.32,"30-50","3-5"
"SDN","Sudan",142.5,1.73,2.43,"0-2","1-3"
"SEN","Senegal",87.5,14.25,32.56,"10-20","20-40"
"SGP","Singapore",4595.83,16.36,0.71,"10-20","0-1"
"SLB","Solomon Islands",152.5,73.89,96.9,"50-","40-"
"SLE","Sierra Leone",58.33,44.9,153.96,"30-50","40-"
"SLV","El Salvador",326.67,9.21,5.64,"5-10","5-10"
"SOM","Somalia",10.42,26.06,500.36,"20-30","40-"
"SRB","Serbia",485,3.64,1.5,"2-5","1-3"
"STP","Sao Tome and Principe",139.17,8.86,12.74,"5-10","10-20"
"SUR","Suriname",829.17,5.64,1.36,"5-10","1-3"
"SVK","Slovakia",1479.17,24,3.25,"20-30","3-5"
"SVN","Slovenia",1965,8.72,0.89,"5-10","0-1"
"SWE","Sweden",5134.17,19.15,0.75,"10-20","0-1"
"SWZ","Swaziland",295.83,36.77,24.86,"30-50","20-40"
"SYC","Seychelles",1175,63.26,10.77,"50-","10-20"
"SYR","Syria",148.67,33.96,45.69,"30-50","40-"
"TCD","Chad",81.67,22.01,53.9,"20-30","40-"
"TGO","Togo",47.5,30.64,129,"30-50","40-"
"THA","Thailand",481.67,10,4.15,"5-10","3-5"
"TJK","Tajikistan",90,14.59,32.42,"10-20","20-40"
"TKM","Turkmenistan",668.33,30.2,9.04,"30-50","5-10"
"TMP","Timor-Leste",207.83,14.46,13.92,"10-20","10-20"
"TTO","Trinidad and Tobago",1672.5,10.1,1.21,"10-20","1-3"
"TUN","Tunisia",352.5,18.17,10.31,"10-20","10-20"
"TUR","Turkey",902.5,12.39,2.75,"10-20","1-3"
"TWN","Taiwan",1883.17,35.97,3.82,"30-50","3-5"
"TZA","Tanzania",76.67,5.04,13.16,"5-10","10-20"
"UGA","Uganda",55.83,7.51,26.89,"5-10","20-40"
"UKR","Ukraine",296.67,2.49,1.68,"2-5","1-3"
"URY","Uruguay",1362.5,6.67,0.98,"5-10","0-1"
"USA","United States",4600,23.68,1.03,"20-30","1-3"
"UZB","Uzbekistan",174.17,15.92,18.28,"10-20","10-20"
"VEN","Venezuela",1041.67,59.3,11.39,"50-","10-20"
"VNM","Viet Nam",157.5,3.64,4.62,"2-5","3-5"
"VUT","Vanuatu",263.33,25.33,19.24,"20-30","10-20"
"WBG","Palestinian Territory",408.33,34.4,16.85,"30-50","10-20"
"WSM","Samoa",338.33,11.92,7.05,"10-20","5-10"
"YEM","Yemen",108.33,18.11,33.43,"10-20","20-40"
"ZAF","South Africa",566.67,18.17,6.41,"10-20","5-10"
"ZAR","Congo Democratic Republic",56.67,7.91,27.92,"5-10","20-40"
"ZMB","Zambia",140,26.88,38.4,"20-30","20-40"
"ZWE","Zimbabwe",70,15.69,44.81,"10-20","40-"
